Name,Review_Date,Review,Owner_Response,Response_Date,Response
Jaikish Thamarasseril,a year ago,Extremely crowded on a Saturday evening. Reservation is a farce here. No control over the occupancy or service capacity vs reservation. …,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-311254) on …"
ahmed khan,9 months ago,We were not allowed to dine as the starters were finished and our reservation was cancelled on 1 st January 2024. We came all the way from 95 kilometers from vikarabad for celebrating 10th anniversary. We were left empty hands with no …,Response from the owner,9 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-342464) on …"
Kolluri Adityavinay,8 months ago,"1. Staff were very slow in delivering food and reason less staff
2.Management is completely failure i came and waited for 40 mins even i have booking …",Response from the owner,8 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-355896) on …"
pravardh raguel,2 months ago,Worst as always. They give burnt food everytime I visit,,,
Partha Das,a year ago,"Very poor service. Staff was not cooperative. Our slot was 2:30pm and we got the table at 3:15pm which was too late. Although we escalated to the manager, he was unresponsive. No water, no glasses,  no spoons or forks were given until we …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-303890) on …"
Rohit kumar Kalyankar,a year ago,"I visited this place yesterday June 14 for Dinner.

Place was overcrowded. Waiters were under Panic and unable to serve the guests …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Mallikarjuna Reddy Gundlagutta,a year ago,"Visited for lunch on Sunday. Waiters serving starters are too busy to serve properly. Cleanliness isn't maintained. Buffet is in the passage and gets very congested.  Furniture, plates, etc feels old and needs a upgrade",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-274118) on …"
Rajesh Chinthapatla,3 years ago,"I won't t recommend this. Now a days taste is not good overall items.
I",Response from the owner,3 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Joyita Mukherjee,a year ago,"Before visiting this branch , please make sure u r able to tolerate staff's behaviour.
We booked a table and reached within the given time limit , but the concerned …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-310766) on …"
pradeep reddy,8 months ago,"One of the Worst BBQ Experiance I ever Had 🤦‍♂️.
We were 18 PAX. I felt AB,'s connot handle  large groups.
BBQ : We were repeatedly requested for Chicken and Mutton kabab it never turned …",Response from the owner,8 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -( ZLCT-354273    ) on …"
Smriti Saxena,4 months ago,Very poor service and very crowded. Food was also not very good.,,,
Pravin Kumar,3 years ago,"The food was very bad with very less varieties and also the service was too slow. We the 11 people been there and non of them were happy, neither vegetarian nor non vegetarian",,,
addanki sirisha,8 months ago,Worst experience!!! There was no proper response from the servers and the hosts..... We visited the place as a team and it's totally waste of time... They lied to us saying that we will be getting discounts as we were a group of 13 people …,Response from the owner,8 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-352721) on …"
Vaishnavi Pulipati,9 months ago,This place was horrible. The food was very bland and pathetic. I had serval cockroaches around me and crawling on me. There is definitely an infestation of bugs. I would never recommend this place and everyone should go to somewhere else instead.,Response from the owner,9 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-340264) on …"
balaji vallabhadasu,2 years ago,"Staff behavior is rude, and items are not served which they mentioned,  service is very poor, useless for group dine in this place",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Sathya Manasa,a year ago,"I have been to this place with my team of 11 members on 28th of this month. The Restaurant was soo rush and the staff was unable to handle them.
Though we have booked the number of seats, they have arranged a 8 seat table and …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-256558) on …"
ajith kora,a year ago,"Worst service, servers won't respond at all even after calling them. There is a manager kind person who take cares of all bookings, we informed him but even he also doesn't called anyone to take care of my table. I'm not that selfish to …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-282598) on …"
Shruthi Murali Mohan,a year ago,"I had a very bad experience here. None of my guests were happy with the food, same repeated menu, no taste and fewer varieties. …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-295011) on …"
Rajiv Podar,9 months ago,"The food is full of oil and very spicy.
Cutlery is not cleaned. One can see stains on plates very clearly.
The barbecue on the table was not cleaned and I needed to ask to get it …",Response from the owner,9 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-339554) on …"
Sai Agri Corporation,2 weeks ago,"There is No Taste of All Food Items, NOT AT ALL WORTHY.",,,
seetharaam krisshna,a year ago,It’s just disgusting to eat in dirty plates and  to use dirty cutlery. Although being in restaurant business They don’t care about hygiene. …,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Mohammed Hyder,8 months ago,"Not at all good, service is very poor. Waiting time is a lot, for every request they are taking 15 min of time, even after waiting for 15 min we got half cooked food many times",Response from the owner,8 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-355427) on …"
Arvind Kumar,a year ago,"Got the table after 20mins of waiting even after reservation.

Over crowded, not able to walk as well. They kept extra chairs in the walking …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
SaiShruthi P,a year ago,"We visited ABs on last Friday along with our family members. We had really a bad experience in terms of lack of service and food. The staff is quite irresponsible in providing service. We were waiting for plates, bowls, spoons for more than …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-264764) on …"
Balu King,a year ago,"I was been to ABs many times but i haven't seen such an unprofessional servicing staff who doesn't have common sense. Staff are refusing to make customisation of starters, service is too late, repeatly they are asking us that, Are you done …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-264972) on …"
Chandra Bhanu,2 years ago,Really bad quality food . Bad service . Bad hygiene of waiter . Very crowded and suffocating,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Arthi Sivakumar,9 months ago,"Ordered geniebox and received stale Biriyani that started smelling bad in a few minutes after opening, though never had such bad experience when we visited the restaurant.",Response from the owner,9 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-342170) on …"
Sourav Saha,a year ago,"The restaurant lost its food quality and service, its my 4th time visiting this Restaurant AB Gachibowli, earlier the service and food was really great but now its the worst, I called at least 10 times to the service person to serve fish, …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Akshay Gutala,2 years ago,Waste of going here. The food tastes worse. I recommend not to go here and don't waste your money. We are very disappointed with the food and service. Here there is a time restriction that you hangout within an hour. Sohal is the manager it …,,,
Santosh Kumar,a year ago,"We went for  friend get-together Saturday lunch and I can't stop myself from writting this review. This was one of the worst buffet 😫 I ever had in Hyderabad. No taste in any of the food items, whether starter or main course.  I even told …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Ramana Reddy,2 years ago,"pathetic service, poor quality and rude behaviour from staff, not a deserving place.",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
mukundha reddy,2 years ago,"Worst experience

They just asked us to wait for 5 min at 12:10 pm and after 12:15 they were …",,,
Siva bejawada,a year ago,"Felt like I was in fish market. People shouting and dancing like we are on streets. Food is not satisfactory.
Families might feel uncomfortable with the streets kind atmosphere.",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-283370) on …"
sravan kumar,2 years ago,Service was the worst . Complete delay in service .Even for water we were forced to Ask 6-7 times .Half of the starters were not served until unless we ask them . Starters were almost completely burnt.Have requested to change it Multiple …,Response from the owner,2 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
Ankur Jain,a year ago,"Four of us went to dine in at noon and the experience was the worst with food, service and the seat to sit. We were sweating like anything, had to call someone for food, as we were just sitting there with no barbeque serving for big …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Gupta Tumpudi,2 years ago,"Everything is worst here. No proper service, no AC, no pleasant atmosphere. On top of all these, food is not all hygiene/tasty. Being buffet we expect number of varieties but there are not many, in fact very limited. Also they never …",,,
Harish Vijayendra,a year ago,This was the most terrible experience I ever had in any restaurant. It's a big faceoff moment as I went along with my team. …,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Purna Ankani,a year ago,"Had a bad experience, we booked table one day before, we went 30 mins before even we waited for 1 hour
While serving also, no one responded.. …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-282753) on …"
Astha Mahajan,2 years ago,"WORST EXPERIENCE, I had yesterday at AB’s Gachibowli. We had planned for team lunch and ABs team were not able to serve properly. They are unable to handle 60 + people altogether. Since we already booked tables for our team. And while …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
dilip kumar,2 years ago,"Long review, please read patiently if you want to know how 3Bs operates.

Only two words to describe the experience, absolutely pathetic! …",,,
Akanksha Gupta,2 years ago,The worst experience one can ever have. It happened not just once but multiple times. The staff is very rude and even after having reservation they give your table to someone else. We had booked for 7pm and had confirmed the reservation …,,,
Jithender Reddy,2 years ago,"Not up to the mark, ambience is good but the tables and dining area is not hygienic. Very crowdy even on Mondays. The air conditioning is not working I guess. It is very hot and suffocating. The main course is very good with various options. I recommend don't choose live counter. The desserts and starters are ok ok.",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Kalyan Ram Vemuri,2 years ago,"Most recent experience was really bad. We visited this store multiple times before COVID and had a great experience always. The person who served for us literally did not care about taking care of the us. When we asked for rotis, they were …",,,
Karthik Bhattiprolu,2 years ago,"Pathetic service. The service for vegetarian is downgraded.
There was no biryani in main course, it was over and its not being refilled, had to eat plain rice as there was no other option. The guy at the counter gave …",Response from the owner,2 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
Gautham Bhavaraju,2 years ago,"Terrible experience, who expects that you won't even be allowed to park even your if you don't have a reservation. I drove down all the way from Narsingi and the parking people don't let me park as I don't have a reservation. So I called up …",,,
Sheetal Nainwal,5 years ago,"Staff was not serving carefully, we had to ask many times. They were too casual that they don't even apologise after dropping food on us while serving. Ambiance is not even clean, seems a cheap bar. On top of this I dint like taste and …",,,
vardhan kb,2 years ago,"Usually it is good atleast decent but when I visited last time I felt its Overrated, no too many varieties available to eat in veg. I cannot think of 1 item that is good. Staff is too busy or too slow to take your orders. It was really  disappointing.",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Sandeep boggarapu,2 years ago,"Worst experience with this restaurant. Had a team lunch. Not Enough staff to serve.they serve small quantities of main course. If you question them they won't respond. They just ignore us.... And food is also not taste good. Better not to go with larger group. For 3 to 4 people it's okok.. I recommend , just ignore if possible",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Murli Krishna,2 years ago,"Editing my previous 5 star review to 1.
I visited this particular branch more than 5 times before and other branches more than 15 times and this branch use to be my favourite BBQ restaurant, but when …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Sameer Chandra Pitta,a year ago,"Absolute BullS***
This place definitely lost its charm. If i could point out everything which went wrong with food and service , this review would be an essay!  And thats not …",Response from the owner,5 years ago,"Dear Guest,

Thank you for reviewing us. We will indeed look forward to have you with us …"
Kiran Kadali,3 years ago,"I have been to this place couple of times before COVID time. Taste, Ambience, Service was superb those time. Recently I have been to this place again 2 days back. …",,,
Nrupesh Sonavane,2 years ago,"I have been to Absolute Barbecues multiple times in past, but last week (mid July 2022), the food was pathetic. Hard paneer cubes on grill, veg starters were completely dry-dry. Chicken starter was okayish, leg pieces were hard, prawns were …",Response from the owner,2 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
Sajauddin Shariff Mohammad,2 years ago,"Worst maintenance. Felt like eating sitting in a store room. Uncomfortable furniture.
Went to 3Bs after long time. Food taste as well as the service degraded. Mostly will not go atleast for next six months.",,,
gokul r nair,a year ago,"Are these reviews even for real ? This is the most pathetic place I've ever been to. The food, service and ambience is almost like a third rate restaurant. Nothing really clicks !",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-258821) on …"
bhargav reddy,2 years ago,"We reserved table in abs Gachibowli 24 July 2022 from Zomato app. We got a call in 1day advance and sms also that your booking is confirmed, 3 days advance.
We booked the table and we are on time at 12. …",,,
Sai Sai,2 years ago,"Only 2 people were to serve, really bad experience, we had to wait 5 min for every starters and we wer seeing other people eating and I was getting a feeling that they wantedly served late so we can eat less and that's what happened we …",,,
Vish Pepala,2 years ago,HORRIBLE experience. I wish I could give negative score(-5).  We went there with our office team of 8.  Night 8:30 slot on Wednesday.  Service people behaviour was very pathetic.  In my entire life I will never go ABs.,Response from the owner,2 years ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Gunavardhan reddy Nalla,4 years ago,"Service is very slow
Also the food is not that great compared to Banjarahills branch.
Could improve more in service because they are charging a lot than many other …",Response from the owner,4 years ago,"Hi,

We sincerely apologize for the inconvenience caused. …"
Bhashwant Ranga,2 years ago,"Very pathetic. Can give you at least 5 reasons for my review.
1. Though dining starts at 12:00 these people start their slots from 11:30. They even called me and hurried me up to be there by 11:45, and when I reached there …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
g_b_m,2 years ago,Last night i went to this restaurant to try buffet dinner. Chicken biryani was a disaster. It has no taste at all. Barbecue seafood was burnt and tasted bad. Garlic noodles were cold. Chicken fried rice was cold and oily. Amritsari fish was …,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
PRASAD VEPURI,2 years ago,Poor maintenance and food not in good taste. Today we have totally disappointed having lunch buffet . we booked our reservation at 2:15pm but it was such a crowded and it took  30 min to get into the buffet hall. No proper waiting area. I …,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
sabarisan j,3 years ago,Probably the crowd bowled them over . It was crowded and the taste of everythig seemed pretty ordinary . Fairly disappointed. The starters were cold but the service was good and the staff was polite . The wish grill had no visitors and …,Response from the owner,3 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
Tharun K Reddy,3 years ago,"Worst place to consider for an outing on weekends. Had a very bad experience.
I booked a table for 3 on Saturday and booking time was 7:00PM. We arrived there at 7:20PM and here they denied my booking. …",Response from the owner,3 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
Anshul Augnivansh,2 years ago,The food lacked flavor. ABs has lost its charm. I took my parents here and they were disappointed. …,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Uday Salla,10 months ago,"Food is ok but service is not that great,
Don't go by watching social media videos,in reality service is very bad",Response from the owner,10 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-330778) on …"
Jalandhar Mandala,4 months ago,Food quality and taste getting worse day by day,,,
muhammed rehan,2 years ago,"Not up to the mark, disappointed, quality wasn't good, there may be much varieties, deserts were limited, waiters were not serving properly.
Last but not the least, didn't reached the customer's satisfaction.
Barbecue nation is much better compare to this.",Response from the owner,2 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
venkata nikhileshwar,a year ago,"Food is good but had a bad experience after table reservation as well, we waited more than hour and no one takes responsibility and we need to chase each and every one in reception but no one cares .",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Munna 431,a year ago,Bad service ruined our overall experience. Basic things and information wasn’t provided until asked twice. Big thumbs down to management.,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-304119) on …"
sudhakar reddy palugulla,2 years ago,"I want to celebrate with my family (7) and I have convinced my family from barbecue nation to ABs Madinaguda, As we entered they received well but that was the only best part, then the down fall started form initial service extreme delay in …",Response from the owner,5 years ago,"Dear Guest
Thank you for reviewing us. We will indeed look forward to have you with us soon. Now book through our APP and treat yourself Free on your 4th visit. Do Buzz …"
Pradeep Tirunagari,3 years ago,Such a poor customer service. We were late by 45 minutes because of two kids. They were not willing to allow us or wanted us to finish food in 1 hour though 60% tables are free. Wanted to have a relaxing Sunday which got ruined because of the service.,,,
A T,a year ago,I would rather prefer a local fish market. The management should understand that buffet is no charity and we as customers are paying for their pathetic food and service!,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-255207) on …"
SRINIVAS. V.,9 months ago,"The food is okay. Its not worth ful  fot the money.
The veggie items are very limited and not suggested to prefer this restaurant.",Response from the owner,9 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-341992) on …"
Utkarsh Jaiswal,4 months ago,Dont go if ur veg,,,
harbinder kaur,2 years ago,"Absolutely deplorable service.there were only 2 of them to serve.there was no menu card given, no plates until asked thrice, they went outside to get ice nothing available at the restaurant. The starters were bad except for crispy corn and mushroom .alcohol costs a bomb,shocker for us as no menu card was provided.",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Satya Kalali,2 years ago,Worst experience. They served cool items every time u need to beg them to bring hot once and u need to ask them every thing. Service is worst experience. Taste also not good. Don't recommend and don't go with dineout app offer u will get nothing. Instead go for Inorbit abs. U will regret if u go there.,,,
