Name,Review_Date,Review,Owner_Response,Response_Date,Response
Nischal CN,3 months ago,We ordered food last night. Food taste was not up to the mark. This morning we got stomach upset and vomiting Also the food quality is the worst. Please don't order food from this outlet. Quality and hygiene are not maintained here.,Response from the owner,3 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the bad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-387702) on …"
Eddy MotoVlogs,3 years ago,"I have given 2 stars not for menu its for food...I have gone AB in Chennai it was good...but here in this BTM layout, I was not able to find the meat fresh, it was not at all hot, grill was not that much hot, they replaced after our …",Response from the owner,3 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Krishna M.G.,5 months ago,We went in a group of 25+. The service was pathetic. It was chaotic as they didn’t know what to do even though it was weekday. Manager came and told that’s the best they can do with the limited number of employees. …,Response from the owner,5 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-380060) on …"
Nilesh Kumar,a month ago,Food quality is very bad. Taste is not good Waste of money and time. Better plan on some normal restaurant,Response from the owner,a month ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the bad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-390931) on …"
Tushar Kumar,8 months ago,"In short - This place sucks big time, and even if you are offered to eat for free - JUST DON'T. …",Response from the owner,8 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-349374) on …"
Abdul Tabrez,9 months ago,"Sheeee she very bad experience,no1 attend properly and no proper serving food,we were waiting for food on our table",Response from the owner,9 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-343576) on …"
Vikas Kumar,4 months ago,"Serious concern against zomato and absolute barbeque nation
Absolute barbeque nation delivered  third grade unhealthy not in condition to eat. …",Response from the owner,4 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-383742) on …"
Amarnath Mukherjee,4 months ago,Horrible staff. We reserved a table for 5 inadvance. Upon reaching there we discovered that our reservation was pushed 2 hrs later. …,Response from the owner,4 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-385038) on …"
SHRADDHA RAJPUT,5 months ago,For atmosphere I can give star in minus..I loved abs but from last two year ..it's sucks.. there ja no proper cooling in abs..you will  get suppocatated...same issue from last two year..yesterday again I visited here..but my God.. we were …,Response from the owner,5 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(  ZLCT-366795   ) on …"
kiran km,5 months ago,Worst service and food . Definitely not worth for the price and food is too bad . The plates aren’t washed properly and quality of food is too low . Worthless place . Money and time both went wasted ..,Response from the owner,5 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-366805     ) on …"
Santosh Declan,a month ago,"I don’t recommend this AB’s. It’s my 2nd visit, taste is not up to the mark. 950/- is not really worth.",Response from the owner,a month ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the bad experience, would request you to share your mobile no & name with this ticket id -(  ZLCT-390452   ) on …"
Akshay S A,8 months ago,The Absolute Barbeque has lost its popularity. We visited the BTM layout branch on Sunday. We were a total of 10 people. We didn't get the service on time as the first starters were delivered after 30 minutes They asked us to leave the …,Response from the owner,8 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-351720) on …"
Suman R,2 years ago,"Food quality taken a dip neither the Kababs nor live counter nor main course is worth .. one needs to find out which food is eating worthy
One waiter tried to make up giving a special mutton kabab that was a disaster ...try buffer somewhere else and save your money",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Rrr Rr,7 months ago,"Very bad experience, I guess high rating was given by them. Servers are not working properly also not much items simply they kept in menu. Taste also very bad. Please don't go thi location by seeing fake reviews.",,,
Hemanth Kumar R,3 months ago,"Date of visit - 23/June/2024

Table was booked at 2PM. Started to serve at 2:30 Pm. …",Response from the owner,3 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the bad experience, would request you to share your mobile no & name with this ticket id -( ZLCT-386150    ) on …"
Tarang Goyal,9 months ago,The place has taken a nosedive since I last visited a few years ago. Almost everything (except the live grill and main course) served to us was not properly cooked. The service was delayed. Drinks had no fizz and the staff were visibly stretched thin.,Response from the owner,9 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-346126) on …"
A Bh,11 months ago,We visited on a Thursday and the veg options were poor. The taste was less than average and the boards and name holders were looking old and dirty. The veg options were very limited. The desert options were badly presented and they had only …,Response from the owner,11 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-325992) on …"
bhavani reddy,8 months ago,There is an absolute cheating happening with booking. Staff is so bad and talk nonsense about pre-booking. Staff says that all need to be physically present while u know the Bangalore traffic and a family travelling from different places of …,Response from the owner,8 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-350434) on …"
Shaki Azeez,8 months ago,"I would give 10/10 for the service but for food and atmosphere it's a big NO

First , your ambience should be absolutely improved . It was so dim and wasn't …",Response from the owner,8 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-349600) on …"
Pradeep Shetty,3 weeks ago,It is the worst place. Sevice and food are not good,Response from the owner,3 weeks ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the bad experience, would request you to share your mobile no & name with this ticket id -( ZLCT-391243    ) on …"
Amit Agarwal,3 months ago,"Poor ambience, over crowded. No space to walk.
Food : no comment.",Response from the owner,3 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the bad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-387839) on …"
Karthik Mallina,3 months ago,Very bad food and hygiene. Its not even worth a fraction of its price,Response from the owner,3 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the bad experience, would request you to share your mobile no & name with this ticket id -( ZLCT-388248    ) on …"
Aravind,2 years ago,Worst food I ever experienced in a barbeque nation. Yesterday there was a corporate virtual lunch event scheduled from my wife's office and they ordered barbeque none veg box regular from here and the taste is pathetic,Response from the owner,2 years ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Rajaram Viswanathan,9 months ago,"Worst service, they don't have enough staffs to serve. We were made to wait for more than 30 mins to serve the starters. We were a group of 15 and they couldn't keep up with the crowd. All starters were not cooked properly and they were served cold. Never again ABs",Response from the owner,9 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -( ZLCT-344506    ) on …"
Ismail Jabiulla,4 years ago,"Only some items Available Don't go heavy.. exceptations.

Simply say Money waste ...",Response from the owner,4 years ago,"Hi,

We sincerely apologize for the inconvenience caused. …"
Rekha Laakshman,a year ago,Terrible experience at this outlet. Poorly managed. Staff running around like headless chickens - a bunch of nincompoops. Nobody at the front desk while the crowd was swelling at the entrance. Free for all here. We were made to wait 45 mins for a table. Best avoided if you are in a small crowd as preference is given only to larger crowds,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Sara Fathima,9 months ago,"* Never download their app*
They ask you to download app, put posters and ads everywhere for people to download the app. …",Response from the owner,9 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -ZLCT-338402 on …"
Y Rahul Reddy,10 months ago,"Worst food and mutton is not cooked properly
Things to be worked upon
1.Introduce more  varieties …",Response from the owner,10 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-333646) on …"
Cosmic Wolf,a year ago,"Have been visiting AB's since a long time. But the recent visit was just horrible. The food was cold and dry, tasted like cardboard, nobody paid much attention to refill the dishes. Found an insect in one of the dishes. The whole place …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Shashwath M S,a year ago,"I don't know about food at all, but never going here... Made a booking from Zomato for 2 people they ""CONFIRMED"" it then called and said we'll cancel the booking as we are only expecting 4+ customers table as this is new year. I mean only 4 …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Anindya Hati,2 years ago,"Heard a lot about AB, but my today's  experience is very bad. The restaurant was full and the staff didn't have any clue on how to handle such a rush. Either they are severely under staffed or very inexperienced staff. Everyone was running …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Nevermore kkillinspree,2 years ago,"The usual fame of AB has out dated and it is high time that we stop thinking of AB when it comes to team/group outing. Seating arrangement is poor, starters have lost qualities and nothing unique than any other restaurants. Yet the main …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Foodieus21,11 months ago,"Food was horrible, no taste, no quality. Service was pathetic as noone bothered to listen to us and atmosphere was like fish market... so much noise and crowd that the restaurant is unable to manage their customer. Never going to this outlet for sure.",Response from the owner,11 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-315858) on …"
Rajat Rao,2 years ago,I had been to the same place a couple of years back and it was good then. Went there yesterday again to find myself and my family hounded by their waiters for a review of every dish they had made even before we were putting it into our …,Response from the owner,2 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
RAJESH KUMAR MAHTO,9 months ago,"Pathetic table booking system of Absolute Barbecue. AB's Customer care Representative confirmed the table booking thrice for 31st December with Zomato voucher. But BTM Absolute Barbecue, BTM refuses to allow any Zomato dine in vouchers for …",Response from the owner,9 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-341147) on …"
Santhosh V,a year ago,"I am visiting this place for 8th time , rest of the 7times was really awesome customer service but this time worst. 1. They have not given water glass, tissues,, 2. They served food very lately. 3. Live counter barbeque asked me to pickup …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Saksham,4 months ago,"The only good thing is the food, everything is below average.",Response from the owner,4 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(   ZLCT-381323  ) on …"
Afsal Feat,a year ago,"Worst experience ever. Do not go to this place. I have booked table a week back, but after reaching the outlet they made me wait for more than 45 min. Finally I cancelled the plan and went somewhere else.Even the staff at this place have no idea how to organize. Better plan somewhere else.",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-310326) on …"
saurabh mathur,2 years ago,I rarely put reviews for restaurants but I am forced to put this review as nothing can be as bad as this experience. …,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Vinay T,2 years ago,Main course dishes were not at all good quality has to be improved. Mutton gravy was sweet I like spicy food may be you guys need to make two part as less spicy and spicy (options) chichen gravy was very bad. I loved barbeque chichen and …,Response from the owner,2 years ago,"As per your valuable review regarding the mentioned concern, we would like to inform you that we have received your feedback and we really apologize for the inconvenience caused. Could you please share your contact details on …"
Kiran Kumar,5 years ago,"Food was pathetic & no hospitality... instead of this restaurant you can go to any standing hotel and have 2 IDLY
They are using trouser clothes as napkins check below pic",Response from the owner,5 years ago,"Hi,

We regret the inconvenience you had to face. For better assistance request you …"
Satish Vangara,a year ago,The staff of ABs have done scratches on my car when I visited last week. This may be done by the wallet parking guy or security persons. I have asked them to check the CC TV footage to find out the person who has done the scratches. They …,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Anwesha Palit,a year ago,I went there today and left in a few minutes. The music was too loud and the place seemed very shabby and hot. I requested the greeter to change the seat to somewhere less noisy but they said in one place the AC isn’t working and the other …,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Ashmit Aryan,2 years ago,"Either you live as best restaurants or dies as bad restaurants. Dining service was obnoxious. When seats were offered to us, the table was not cleaned. The fish was smelling, the manager has told as that the fish are coming from the sea and …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
girish k.r,a year ago,"One of the worst places, haven't seen somebody naming chicken kheema as bhuna ghost and people tend to have it believing that's what is bhuna ghost. …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-272773) on …"
Srikanth Reddy,a year ago,"Very bad experience,
Low quality foods
Unhygienic …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-274674) on …"
Mallikarjuna Mamidi,a year ago,"It was really good when I visited first time, year on year food quality is completely reduced. Starters and desserts are below average. Main course is ok. Please improve quality #ABN",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
vaishali soornagi,a year ago,"I am talking only about the food. Their service was and is still good.
The food was cold,stale and all the starters tasted the same. I could not understand the difference. …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Ramzan,9 months ago,We all got food poisoning after having here and there isn’t much in food options barbecue nation is far better choice compare to this and service also just avarage,Response from the owner,9 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(  ZLCT-346781   ) on …"
Jagath R,2 years ago,"I had been to AB BTM Layout on 28.08, Sunday for lunch with my wife and son to celebrate my 14th Wedding anniversary. The experience was nothing short of B-A-D! …",Response from the owner,2 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
Jyothi Mj,a year ago,We were 45 mins lates than taking the booking and it was for my baby birthday they dint allow us which is very bad they sent message as cancelled but we loon forward to have you if they can't allow why should they send message,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-276631) on …"
Mohan Kumar,3 years ago,"We were a group of 6 who visited the place on Saturday noon, yesterday and we had a dissatisfied experience overall. Not sure if it was due to weekend. …",Response from the owner,3 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
Sushine doodleblue Business Development,a year ago,"Reviews Below:
1. Ambience is decent
2. Customer service is bad (They cannot say that we can only provide you 2 hrs …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
kaveri majumder,a year ago,"I never thought been in a hotel industry, I have to write this Type of post. 1st no one come and ask, we were waiting for waiter and they were chatting and laughing in them, 2nd they serve us spoil food, when we complain they changed , next …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Zohra Mariam,2 years ago,"The quality of food has come down so bad. I loved this place when I first visited it in 2018. It was ok till 2020, but after that it just came down. The flavours are changed. Service is pathetic, like you need to keep waiting for your …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Vinod Somashekar,2 years ago,Less staff. They delay the serving a lot.. taste is better.. not happy because they bring 10 sticks but with only 2 pieces... Where 4 guys finish in a minute.. again we have to wait a long time for next serving.... Drinks order were served after dinner...,Response from the owner,2 years ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
PlanYourNextTrip,a year ago,"The wait time here is horrible.
When you call for a booking, they say harshly that if we are late by 5 mins the booking gets cancelled. …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
abhishek kumar,2 years ago,They have reduced the quality and quantity of food also for getting starter you have to wait long .  No good management no one was listening only moving here and there . Very worst experience. Waist of money. Please improve starter quality. Plates was broken.,Response from the owner,2 years ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Srini Red,2 years ago,It’s not as before. No vallet parking service. The food is not cooked well. BTM branch is horrible. They just show attitude like people come and go so all your concerns aren’t addressed until it’s escalated. They allocate tables by …,Response from the owner,2 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
Desai Rahul,3 years ago,Server was serving water by filling used bottles again that too in this covid period. I have never seen this type of worse hospitality even on the road side stalls. Taste was good. They apologized a lot to give good review but this is not the way of serving customers.,,,
Kanchan Lodh Roy,2 years ago,I hardly have given one star to any restaurant till date but Absolute Barbeque BTMdeserves that!! 23 of us been there yesterday and it was the worst decision ever. First of all the place is very congested and with extra chairs introduced …,,,
Dj Sha,2 years ago,One of the worst experience in this restaurant.. service was not as per the price.. A guy called RAVI was having restrictions on the food with the package... He was telling us only limited time like one or two time we can service if we …,,,
Archita Bhalotia,4 years ago,"I visited this highly recommended restaurant recently and was surprised with the awful quality of their food, service and ambiance.
The appetizers were fairly decent but everything going forward into the main …",Response from the owner,4 years ago,"Hi,

We sincerely apologize for the inconvenience caused. …"
Rohan Bagchi,3 years ago,Place used to be great. Now it is a mess. The live counter had stale food and was dirty. Grills took forever to arrive and the main course was pathetic. They served a mutton gravy and it was uncooked. …,,,
Vijay Kumar,2 years ago,Yes one of the best place before 2nd wave of covid. Now the complete team is changed I guess. The whole party gone waste only because of Mr Ravi Kumar. We have booked a table for 20 members and we have been arrived at 12.45pm. The party …,,,
Diptanu Sengupta,2 years ago,Went on 1st January. Experience was really really bad. The team absolutely was not ready to handle huge rush of 1st Jan. The food was below average. Ambiance was poor and was in a  very unhygienic condition,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Praveen Sachin,2 years ago,"I have ordered Genie couple Buffet box non veg from BTM layout , After seeing good reviews in online i have decided to order in absolute barbecues, Very very worst experience i have ever faced till now. Chicken smell is like very old one and not able to taste it , Prawn not cooked as well. Briyani is okay and sweet is good .",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
vyshakh krishnan,a year ago,Have called and asked them whether feeding room is available in the btm outlet and they confirmed thats its there. So we went there with our baby. Totally disappointed to see that there was no such facility. Have to come back without eating after traveling for about 30 mins,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Rajeev Verma,9 months ago,Serving is very bad. Food quality not good. Cold food served. Pathetic service.,Response from the owner,9 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(   ZLCT-344505  ) on …"
Irshad Abden,2 years ago,We had a very bad service and there were hardly any Pershian festival. Except some mutton curry and Chicken buriyani. No Kababs were served despite talking to the manager. …,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Subratkumar Behera,4 months ago,Restaurant staff bihar not good in customer,Response from the owner,4 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-382802) on …"
Amrita Panchal,2 years ago,"Small, congested place and food taste not worthy of Rs 800 per person. There is nothing here for vegetarian and you will die with the smell of burning meat. It seems the only objective is to make money out of this restaurant.",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Miyu Jasmine Nair,2 years ago,"So we went today for dinner. Crispy corn was cold and not crispy, american cheese potato was cold, papad was soft, mutton rogan josh was salty for my liking, frankly speaking it does not deserve even one star..",Response from the owner,2 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
Rajesh Naidu,2 years ago,Editing the review after the 5th visit. Mostly this will be my last edit as I decided not to visit this restaurant anymore. From starting to ending it was the worst worst experience. Many items are removed from menu and now all are basic …,Response from the owner,2 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
Nadeem Badar,3 years ago,"Our visit to this place proved to be the worst mistake in our culinary voyage. Having been to AB’s and BN’s of the world in other major cities of India, what we witnessed here was a shocker. Starting from the hygiene, we were appalled by …",Response from the owner,3 years ago,"Dear Guest,
Thank you for sharing your feedback. We are sorry that your experience was not an amazing one, we strive to provide the best experience we can for our …"
ASHUTOSH,3 years ago,Good but not managed well during the pandemic. Over crowded to such an extent that I literally thought I might catch covid here. The quality of main course and the variety of dessert was pathetic. The starters were also not great. They even give you un used barbeques from previous tables,Response from the owner,3 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
veeresh mahendra,2 years ago,"Grilled food was cold when served. We had to wait for it to become warm before consuming. After providing feedback, we started getting burnt fish and prawns. When informed the person that we do not want it to be burnt, he asked if we wanted …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
