Location,Name,,,,Review_Date,Review,,,,,,,,,Response
https://lh3.googleusercontent.com/a-/ALV-UjUAVc9EDbfV5WLC1AhmndW0jaBESy-_ixAmAiJ6aOClyKNSu9C8fQ=w72-h72-p-rp-mo-ba3-br100,Shabana Fatima,,,,7 months ago,"The quality of food and service has gone worse, I felt like I was in a roadside mess. The management didn't know how to manage, there was a large group who were eating and throwing food near the buffet arrangement. Women were being pushed …",,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjWe6j8UAwUNqrAeyElDXvzUAWzSTEKzQHgW5B9ucjiG8sSOT22Zfw=w72-h72-p-rp-mo-br100,vamala priya,,,,4 months ago,Worst experience food was spoiled(biryani) and manager was not good he is talking rudely with customers totally worst experience,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjUgWjs5I9XCXPJ3z7HI-CfPtc5c6YLZfSJkrRokA4rQPUXk2_Ir=w72-h72-p-rp-mo-ba3-br100,Suresh Kumar Subramanian,,,,2 years ago,"Very bad service and quality of food is not good
Mock tail is also very bad",,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjXGQpcjBDnF7oI5vWKn_TL2TNM6IPIZ82TOzfVQ7ZqG_JP54Djh=w72-h72-p-rp-mo-ba5-br100,shafi,,,,2 years ago,Worst staff..one of worst places to visit...no service...no proper food,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjU8OHY6qRM_l_rrfnmeuUNZPx9whe9EOlowGZbXidJF3rrzEAQo=w72-h72-p-rp-mo-ba5-br100,Kpavan Kumar,,,,3 months ago,"Very slow service , no one bothered to attend for almost 40 mins. Unacceptable",,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjXg8EWbTSfdxiv1MdgtTDz6ZV-vubAY002gDeLvspKuDMymW9D7cw=w72-h72-p-rp-mo-br100,sateeshkumar singatam,,,,8 months ago,"Please have your lunch at home and go for this buffet..because

you dont get the starters on the table. …",,,,,,,,,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(   ZLCT-349238  ) on …"
https://lh3.googleusercontent.com/a-/ALV-UjWrBTuLEGm-S9AlvKR6GlojS0xMrGpKydEtNqh9m64_tIeok766=w72-h72-p-rp-mo-ba2-br100,kosuri venkatesh,,,,8 months ago,"I request everyone not to prefer this branch, i have visited AB's in lot of branches abd in lot of cities but here this branch is too worst. …",,,,,,,,,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-348588) on …"
https://lh3.googleusercontent.com/a-/ALV-UjWIzEZBCGWoXBqbrq8uGFZ7Y8uM7BoroqkqE7SRB10or1inNzoI=w72-h72-p-rp-mo-ba4-br100,Jaikish Thamarasseril,,,,a year ago,Extremely crowded on a Saturday evening. Reservation is a farce here. No control over the occupancy or service capacity vs reservation. …,,,,,,,,,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-311254) on …"
https://lh3.googleusercontent.com/a/ACg8ocLijCW-sOvXiJ-kzqU7NAnp2zlAEl1U-uwdj9wSyOBptCiAhw=w72-h72-p-rp-mo-br100,ahmed khan,,,,9 months ago,We were not allowed to dine as the starters were finished and our reservation was cancelled on 1 st January 2024. We came all the way from 95 kilometers from vikarabad for celebrating 10th anniversary. We were left empty hands with no …,,,,,,,,,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-342464) on …"
https://lh3.googleusercontent.com/a-/ALV-UjVbQwqYvV2lzbJc0SgNzM3im1tnDIcAXakGIHZXtzXNFKQAgilt=w72-h72-p-rp-mo-br100,Kolluri Adityavinay,,,,8 months ago,"1. Staff were very slow in delivering food and reason less staff
2.Management is completely failure i came and waited for 40 mins even i have booking …",,,,,,,,,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-355896) on …"
https://lh3.googleusercontent.com/a-/ALV-UjVzqdt-vHMhZyKfeY16_px0TeQ1WQSHye-Vj8luftI7jI1bYp3t=w72-h72-p-rp-mo-ba4-br100,pravardh raguel,,,,2 months ago,Worst as always. They give burnt food everytime I visit,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjVnsZV8oqDAEYyCGO8vy9TvqNyHxYXocqAou0ZhSXqNSVgafeEk=w72-h72-p-rp-mo-br100,pradeep reddy,,,,8 months ago,"One of the Worst BBQ Experiance I ever Had 🤦‍♂️.
We were 18 PAX. I felt AB,'s connot handle  large groups.
BBQ : We were repeatedly requested for Chicken and Mutton kabab it never turned …",,,,,,,,,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -( ZLCT-354273    ) on …"
https://lh3.googleusercontent.com/a/ACg8ocIFo3fsn6YWkl85cpvqXXjKLv73uPIFN0rXOQmtPRd897gcBA=w72-h72-p-rp-mo-br100,Partha Das,,,,a year ago,"Very poor service. Staff was not cooperative. Our slot was 2:30pm and we got the table at 3:15pm which was too late. Although we escalated to the manager, he was unresponsive. No water, no glasses,  no spoons or forks were given until we …",,,,,,,,,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-303890) on …"
https://lh3.googleusercontent.com/a/ACg8ocKoOBqNYAcQPzGqxvVKkrPZ8dvqOxmkbBH7cyuKuOLGw2u4Jvtw=w72-h72-p-rp-mo-ba2-br100,Rohit kumar Kalyankar,,,,a year ago,"I visited this place yesterday June 14 for Dinner.

Place was overcrowded. Waiters were under Panic and unable to serve the guests …",,,,,,,,,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
https://lh3.googleusercontent.com/a/ACg8ocIpjtLoPoBdtn5eq2SCtOLaSuslCsU999Xgmq6DheDkUXNtAw=w72-h72-p-rp-mo-ba2-br100,Mallikarjuna Reddy Gundlagutta,,,,a year ago,"Visited for lunch on Sunday. Waiters serving starters are too busy to serve properly. Cleanliness isn't maintained. Buffet is in the passage and gets very congested.  Furniture, plates, etc feels old and needs a upgrade",,,,,,,,,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-274118) on …"
https://lh3.googleusercontent.com/a-/ALV-UjV3DJC0h9LIDKjGYFMtos6i_xI0IwZjCo3GPcg7JK6qcIwiLQIf=w72-h72-p-rp-mo-ba5-br100,Rajesh Chinthapatla,,,,3 years ago,"I won't t recommend this. Now a days taste is not good overall items.
I",,,,,,,,,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
https://lh3.googleusercontent.com/a-/ALV-UjU1cpFZh7dFRU5R_zZGpWWEAcXCkjh2dnJZFxkRAR-nAcpCyJ_A=w72-h72-p-rp-mo-ba4-br100,Joyita Mukherjee,,,,a year ago,"Before visiting this branch , please make sure u r able to tolerate staff's behaviour.
We booked a table and reached within the given time limit , but the concerned …",,,,,,,,,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-310766) on …"
https://lh3.googleusercontent.com/a-/ALV-UjW-DddcPNNei4bQXDC6JZDqqZr-1s6prS_UzlDvzrKoQTpmHo_w=w72-h72-p-rp-mo-ba3-br100,Smriti Saxena,,,,4 months ago,Very poor service and very crowded. Food was also not very good.,,,,,,,,,
https://lh3.googleusercontent.com/a/ACg8ocK4MtAgHdcLS91-DORKKkCzefhs_52VoQgFnamjtSA6NBZ9_g=w72-h72-p-rp-mo-ba2-br100,Pravin Kumar,,,,3 years ago,"The food was very bad with very less varieties and also the service was too slow. We the 11 people been there and non of them were happy, neither vegetarian nor non vegetarian",,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjWanfzY5IFXHhBmvJuvjzmJkvIVjsO51FTQwbItpkHN5u3kuznbsA=w72-h72-p-rp-mo-br100,addanki sirisha,,,,8 months ago,Worst experience!!! There was no proper response from the servers and the hosts..... We visited the place as a team and it's totally waste of time... They lied to us saying that we will be getting discounts as we were a group of 13 people …,,,,,,,,,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-352721) on …"
https://lh3.googleusercontent.com/a-/ALV-UjXwMKfegOTLVvlx2fcDjDRQ1rXTF0j4cqZ58_AORWU3QvJkdWci=w72-h72-p-rp-mo-br100,Vaishnavi Pulipati,,,,9 months ago,This place was horrible. The food was very bland and pathetic. I had serval cockroaches around me and crawling on me. There is definitely an infestation of bugs. I would never recommend this place and everyone should go to somewhere else instead.,,,,,,,,,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-340264) on …"
https://lh3.googleusercontent.com/a/ACg8ocJwqMbeNMUtq8m6i8LA5RBF3kG9ImyNjggNfEdPjldJalxrvORj=w72-h72-p-rp-mo-ba5-br100,balaji vallabhadasu,,,,2 years ago,"Staff behavior is rude, and items are not served which they mentioned,  service is very poor, useless for group dine in this place",,,,,,,,,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
https://lh3.googleusercontent.com/a-/ALV-UjVRjWyv4M8QhA_8QPUSBWI_reXdE584Wm7j3LI52qG4FXxSg6VZ=w72-h72-p-rp-mo-br100,Sathya Manasa,,,,a year ago,"I have been to this place with my team of 11 members on 28th of this month. The Restaurant was soo rush and the staff was unable to handle them.
Though we have booked the number of seats, they have arranged a 8 seat table and …",,,,,,,,,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-256558) on …"
https://lh3.googleusercontent.com/a/ACg8ocLQx7XRsB3X0v9OoeJnOfPiYez3W2VLZ1lb4ic8AbGhort0MQ=w72-h72-p-rp-mo-br100,ajith kora,,,,a year ago,"Worst service, servers won't respond at all even after calling them. There is a manager kind person who take cares of all bookings, we informed him but even he also doesn't called anyone to take care of my table. I'm not that selfish to …",,,,,,,,,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-282598) on …"
https://lh3.googleusercontent.com/a/ACg8ocIjwZOS9cDaJiI7HJq3wV310zlcaQM9-8Dr0wqKPr1tqAdfeA=w72-h72-p-rp-mo-br100,Shruthi Murali Mohan,,,,a year ago,"I had a very bad experience here. None of my guests were happy with the food, same repeated menu, no taste and fewer varieties. …",,,,,,,,,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-295011) on …"
https://lh3.googleusercontent.com/a-/ALV-UjWtbjYQRA6VhSvOzRUgmp2hI5Yma9wwb3fPC8kGe17ySm6sHdaIGg=w72-h72-p-rp-mo-ba4-br100,Rajiv Podar,,,,9 months ago,"The food is full of oil and very spicy.
Cutlery is not cleaned. One can see stains on plates very clearly.
The barbecue on the table was not cleaned and I needed to ask to get it …",,,,,,,,,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-339554) on …"
https://lh3.googleusercontent.com/a-/ALV-UjVAz8sicbmMgF0ZZfLDVC5bTUJPUA7n6IaWi6dhb3EfuP90gBVA=w72-h72-p-rp-mo-ba3-br100,Sai Agri Corporation,,,,2 weeks ago,"There is No Taste of All Food Items, NOT AT ALL WORTHY.",,,,,,,,,
https://lh3.googleusercontent.com/a/ACg8ocKiskQBvrq4cSgUUpMTXzsm57Fs21LY70OT6p6TbSnYpKtICQ=w72-h72-p-rp-mo-br100,seetharaam krisshna,,,,a year ago,It’s just disgusting to eat in dirty plates and  to use dirty cutlery. Although being in restaurant business They don’t care about hygiene. …,,,,,,,,,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
https://lh3.googleusercontent.com/a-/ALV-UjVOYZFu674PUN0WwD8CJOOLxFTA6wZuJtWM-Em_6A0MMRUNoUSB=w72-h72-p-rp-mo-ba3-br100,Mohammed Hyder,,,,8 months ago,"Not at all good, service is very poor. Waiting time is a lot, for every request they are taking 15 min of time, even after waiting for 15 min we got half cooked food many times",,,,,,,,,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-355427) on …"
https://lh3.googleusercontent.com/a-/ALV-UjWNmhYW-qLMmq3b7UvJmiMm2X7vyhuhvsSGsngomCHV95MZuibipQ=w72-h72-p-rp-mo-ba5-br100,Arvind Kumar,,,,a year ago,"Got the table after 20mins of waiting even after reservation.

Over crowded, not able to walk as well. They kept extra chairs in the walking …",,,,,,,,,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
https://lh3.googleusercontent.com/a-/ALV-UjU1tI92nqO21GVQm4aVCskzTbcOSiY5HSpzeZ6jL1bRcnqnbt6l=w72-h72-p-rp-mo-br100,Chandra Bhanu,,,,2 years ago,Really bad quality food . Bad service . Bad hygiene of waiter . Very crowded and suffocating,,,,,,,,,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
https://lh3.googleusercontent.com/a/ACg8ocIEHyTzmfZpoA6g4awV17h7qujyX12ysjeTF9Vh5XhHlBDz-w=w72-h72-p-rp-mo-br100,SaiShruthi P,,,,a year ago,"We visited ABs on last Friday along with our family members. We had really a bad experience in terms of lack of service and food. The staff is quite irresponsible in providing service. We were waiting for plates, bowls, spoons for more than …",,,,,,,,,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-264764) on …"
https://lh3.googleusercontent.com/a-/ALV-UjVh4BhjMk-FV6BjGyJg9Dum44qwhQnlxVqzrCFvmGlAIfgJJRaz=w72-h72-p-rp-mo-br100,Balu King,,,,a year ago,"I was been to ABs many times but i haven't seen such an unprofessional servicing staff who doesn't have common sense. Staff are refusing to make customisation of starters, service is too late, repeatly they are asking us that, Are you done …",,,,,,,,,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-264972) on …"
