Name,Review_Date,Review,Owner_Response,Response_Date,Response
Aparna Nair,3 years ago,"I am giving 1 star because I couldn’t even reach the place had to go visit a doctor instead.
While I was parking at the place the security guard told me to, my scooty skid …",,,
j raman,8 months ago,"We went for the lunch buffet on Saturday, 20th jan 2024.

We had opted for both veg and non veg. …",Response from the owner,8 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(  ZLCT-349164   ) on …"
Christine palan,11 months ago,Very Bad experience. Will never ever visit again.And will never ever recommend anyone to visit. I visited this place with my husband and daughter. Starters were stale. When told them that the starters look stale the attendant told us it is …,Response from the owner,11 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-316477) on …"
Oberoi Ravi,8 months ago,"Food -- Raw Paneer & Mushrooms served in starters totally tasteless , Starting from so called ""Wish Grill"" (Totally Tasteless), Chat(Panipuri s were Rock Hard , You need Hammer to break them off) , Chat chutnies were not fresh at all, …",Response from the owner,8 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-347434) on …"
CHETAN,4 months ago,"Not the place to visit during peak hours and weekends.

The food and Service quality is pathetic",,,
Siddhant Bendkar,11 months ago,"Food: The quality was below average; AB's attempted to copy Barbeque Nation but failed miserably. Many items were undercooked, and the meat and Parwan lacked freshness. The main course, especially butter chicken, Biryani, and mutton curry, …",Response from the owner,11 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-323678) on …"
Ravi Ramachandran,2 years ago,"First of all the place resembled a fish market with so much noise.
Every dish was sweet. Inspite of requesting them to make it spicy. They again made it sweet. …",Response from the owner,2 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
81-Ayesha Shaikh,11 months ago,Yesterday i with my friends went to Absolute barbecue. It was my first time visiting this place and while we were almost done witht the meal i felt something on my thigh and when i looked over a RAT WAS ON ME!!!! How can a rat be at such a …,Response from the owner,11 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-321767) on …"
shaina rajan,a year ago,"My first visit to AB.
It was a very sad experience.
Pointers: …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Sampada Orpe,2 years ago,"Worst service...Had been at AB Powai on 14th Aug Sunday  for a birthday celebration of  a family member., we were 8 people .. The service was very poor . The attendant was not prompt in service neither the food coming was good .. We …",,,
Dhananjay Nikam,a month ago,This is worst customer service experience in ABs.,,,
varun handa,2 years ago,"I have been to many AB restaurants in past and have delightful memories, so thought of attempting In Mumbai as well. It was my worst ever AB experience. I went for Sunday lunch with friends. It started with the extremely delayed service …",Response from the owner,2 years ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Shweta Panchal,4 years ago,"This place is named as Absolute Barbecues but doesn't have much barbecue option for vegetarians. I don't recommend this place for vegetarians.
Only meant for Non-vegetarians.",,,
Michael Dsouza,a year ago,"It was just a pathetic experience overall. Food was stale, plates dirty, buffet area extremely dirty. Buffet food got over and my family could not even have the main course. I had to carry aside soiled plates as there was no one service our …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Vaishali Kumat,a year ago,"We were a group of about 20 people and it was a big let down. Food was below average. Barbecue had no marination or taste, there was no drink cold or hot served with starters. Starter options were very less and all fried. Main course was …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
S M,2 years ago,"Must avoid this place if you are a real foodie and you are very peculiar about taste. No proper taste of all food i.e. Chaat, tikki, barbeque, main course, Pasta . Pizza was ok. Everything was out of flavor & no proper taste. …",Response from the owner,2 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
Navdeep Anand,a year ago,"Don't go by the paid reviews given.

Worst service, cold food and even after that they dare to come and ask if we …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Travel & Food,2 years ago,Had a worst experience at this place. Waiters were not refilling the starters. They just gave starters at the beginning and then all waiters vanished and never came back to us. We had to start with main course then. Even the food of main …,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Arundhati Mane,a year ago,"Starters were too salty,not edible… main for dinner okiesh… pastries were dry… only pani puri was good .. I paid 3100 RS for such dinner which is totally waste of money… we left restaurant with half fill stomach… not satisfied with ABS …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Ariz Anwar Khan,a year ago,"Pathetic n slow service, below average food and dirty crockeries. The waiters are hopeless here. They will do their best not to serve you the starter dish twice. Its better to spend Rs.200 more and go to Barbeque Nation for good food, service and ambience.",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Chandranil Chakraborty,10 months ago,"Horrible Service, too slow.  And food was not upto the mark , had an amazing experience on my previous visit ,hence brought my friend, but the experience was pathetic this time",Response from the owner,10 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-327538) on …"
Bhuumi Yadav,3 months ago,"Not good quality......
Food items limited",,,
Tanvi Iyer,2 years ago,"Reservation Process: 1/5
• Rating 1 star because they at least picked up the phone and took down my reservation. …",Response from the owner,2 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
Kunal Jain,2 years ago,"The service was really very slow as the resturant was over crowded. Many of the stalls were not continuously manned by anyone so most of the people had to wait for long time to get pizza, pasta, or chat or dessert items. …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Neha Gunjal,2 years ago,"The worst service ever!! Vashi's outlet was way polite! The Powai's ABs was very disappointing, very rude behaviour! I went with my family of 10 people, the waiter was not even professional, I had booked an offer on dineout to which he said …",,,
MANISH SAINI,6 months ago,"Very bad service
the staff is thief
the food is very bad
so you don't go in this restaurant",,,
Sumit Gupta,a year ago,"By far the worst barbeque experience I've had. Not a single dish could be classified as above average. Everything seemed to be prepared in haste and the dishes were just to make up the numbers. Service can only take you so far- if the food isn't upto the mark, it doesn't really matter. Regret ruining a Friday evening.",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Niel Patel,a year ago,"Its same as other nothing extra ordinary,
Veg items were not marinated enough.
Main course was average as well. …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Ansh Aherwar,3 years ago,"*READ THIS BEFORE GOING*

This place is too much hyped. The food served was bland and tasteless. The …",,,
Ezaz Shaikh,2 years ago,"If you are planning for group booking AB is not good Idea, they don't have that capacity to serve you in proper way, we have booked it for 60 people and informed that in well advance but they could not Manage the service. It was really bad …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Joslyn Estibeiro,2 years ago,Very poor customer service. They just know to accommodate customers but no one cares if the food is reaching the customers table. Tried calling the manager 2 times to escalate but he didn't turn up. Manager was busy sitting inside his cabin …,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Medha,2 years ago,I didn't like the food at all. The quality was not at par with barbecue nation/Sigree or other barbecue restaurants I have tried. I was specially disappointed with the desserts. The Jalebi actually tasted a bit sour as if the batter was …,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Babu Khoja,a year ago,It was the worst experience at absolute barbecues bcoz all the food was sour (kadwa)all the food was tasteless n there was no salt at all n the service was worst if u ask for a drink they get after 1hr so the manager Alim the chief Vikas …,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
shrinivas silmula,2 years ago,"Booked in advance and the price was somewhere around 750 and on actual visit day price went to 994 without any earlier initimation
Very limited option in non veg food, no welcome drink, only dessert was good.  Staff were polite.",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Mohammed Amin,2 years ago,"Yesterday evening was bad
Taste not up to the mark. As compared to Barbeque Nation.
Even sweets section variety was not good. The small mawa cake was hard. …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Vinay K,a year ago,"Disaster.
People standing and eating right next to the area where food is being served.
Used plates not being cleared from the table. …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Sheetal Manek,2 years ago,Home delivery of Genie Box. Straters were all cold. However grilled  pineapple was above average. The paratha n naan were hard and black. Paneer makhani n dal makhani were over spiced. Biryani was ok. The papad were not roasted properly. The packing of food was fantastic though. Overall taste 3/10. It almost soiled our stomachs.,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Toni Jha,2 years ago,I was a happy customer of AB's untill today. But I'm highly disappointed with what they have done. I ordered a nonveg buffet worth 699 and this is what I got delivered what you see in the image. There is no nonveg in gravy neither chicken …,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Hetang Desai,2 years ago,"I have come to the conclusion that ratings can be bought on food apps after visiting Absolute Barbecues at Powai. The food served is cold, stale and unpalatable. In case you complain, the staff is trained to offer free stuff not on the menu …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Menka Gandhi,2 years ago,"First they should change their years long menu. Its same options since years and very boring now.The food items were all messed up like Pasta with no salt,Mangolean rice with lot of vinegar ,biryani which is like pulav and french fries …",,,
Bennaifer Shaw,a year ago,A friend of mine had warned me from going to this place but i trusted the reviews & fell flat in my face.. taste an absolute disaster. Most of the dishes very salty. Never recommend.,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
shraddha bhanushali,2 years ago,"If there was an option then I would give minus rating. Very bad experience. Nothing is good about this place. Niether the food, nor the service. Cleanliness is a big issue. Found cockroach on my table and staff was ok with it. If this place is trying to replicate BBQ nations then it is not even close to it.
Really upsetting",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Satyam Jindal,a year ago,"Worst experience!
Seriously Awful:
Food quality was very bad, I’m sure this wasn’t even fresh …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-305812) on …"
Anoop Thulasy,5 years ago,Concept is good however they lack time management. The manager asker us to leave in 2.5 hours since they had more customers waiting out side. Only starter's comes to your table and to enjoy rest of the items you have to wait go to the …,Response from the owner,4 years ago,"Hi,

We sincerely apologize for the inconvenience caused. …"
Sunil Rai,2 years ago,"Booked the AB Powai place a week in advance to celebrate my Parents 50th Anniversary, when we arrived we were given seats at far away section which was far away from buffet where it was impossible for my 80 year old parents to go and take …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Soham Joshi (InfernoSJ21),2 years ago,"One of my worst experiences. Will not recommended it to anyone ever. Had a booking for a table at 12:00 noon. But while we were on the way, when we called the restaurant to inform them that we will arrive late, they were reluctant to admit …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Jatin Khurana,a year ago,Horrible experience. Will never visit this place again. Found cockroages roaming on table. When complaint to the manager he said I will give you complimentary buffet.,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Sneha Pakhare,a year ago,"I feel barbeque nation has a good variety of food compared to absolute barbecue. Starters are also very limited , main course also don't have variety. And live kitchen too not very successful.",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
faiz khan,2 years ago,"Looking at their reviews on zomato we were totally excited about this place to visit and try something different.
Their price for the buffet is also reasonable which is INR 850 + Taxes inclusive …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Food Encounterer,2 years ago,Worst service and food is also not that great. They make countless reservation and have very limited seats. The service is not good and the food gets over until 2nd slot. It's better to avoid and go at some other place.,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Saurabh Kumar,2 years ago,Taste of food is bad. They've kept good collection of food but none of them is delightful. Grills are ok. No Covid appropriate behaviour of staff. Table manager touched the cheeks of daughter and I had to shout at him!! Overall experience - Worst. BBN would be my first choice for barbeque.,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Premjeet Manjrekar,2 years ago,"Looks very delicious and attracted to the food and photos of reviews of other . but when we visited the views changed barbeque was good with starters , fish and meat was ok of the barbeque but prawns were not properly cooked serving only …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Dharmendra Gupta,4 years ago,"***********Review for veg buffet***********
If you are pure vegetarian... Then avoid this place.
Service: service is average, we need to wait for each item. …",Response from the owner,4 years ago,"Hi,

We sincerely apologize for the inconvenience caused. …"
Mustafa Filmwala,2 years ago,"Whatever on grill is good( though there is not much variety for chicken). No mutton starters/grill item.
Main course pathetic. Pasta, noodles, chaat, pizza very bad and tasteless. …",,,
RRC,4 years ago,"Never ever visit this place. Scam restuarant. First time lasting experience. They ask u to come in and then tell you, you have to finish by 9 as next batch starts. Disgraceful management. Be warned. I don't even want an apology from them. Scumbags is being kind to them.",Response from the owner,4 years ago,"Hi,

We sincerely apologize for the inconvenience caused. …"
archana varma,2 years ago,"Guys this restaurant is not at all good in hygiene,  We ordered Drinks and found fly in it very disgusting. Plus we ordered cake to celebrate the cake was very very bad....Guys I will strongly suggest to avoid this restaurant for your hygiene, such bad food will make you sick very sick.",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Vikas Sharma,5 years ago,"Though New, but Rouge restaurant. Very poor service and narrow lanes to move around. The staff training needs complete overhaul.
Food quality is average.
Barbeque Nation is two times better",Response from the owner,5 years ago,"Hi,

We regret the inconvenience you had to face. For better assistance request you …"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Arvinder Singh,4 years ago,Very bad service and food presentation. Overhyped. The staff is just not concerned with what's happening. The buffet spread is not refilled neither is the staff courteous/ trained enough to handle huge rush of clientele... they need to work …,Response from the owner,4 years ago,"Hi,

We sincerely apologize for the inconvenience caused. …"
Legendary Kingston,2 years ago,The restaurant doesn't take walk ins. No where it has mentioned about prior reservation anywhere..and that too on a weekday...I travelled from a different location to celebrate my birthday out there...on arriving at the restaurant they told …,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
apeksha shah,3 years ago,"From our experience at absolute barbecue in Chennai, this place is a whole universe different than that excellence we expected. Very average food. Not a single item stood out. Stale, sada hua khana was also served - completely inedible. …",,,
Rijesh K,2 years ago,Worst experience. Noone at the counter to regulate the bookings inspite of huge crowd waiting for entry. Dont understand why they accept bookings when there is already lot of people waiting. There is absolutely no meaning in booking a …,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Vivek Acharya,2 years ago,"Visited Absolute barbecue, Powai, Mumbai, on 5th May 2022. Table booked online.for 4 adults & a child. …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
kavita Kotabagi,2 years ago,Had a very bad experience..I went to ur place in saki vihar road and ordered food. Then a lady who said it s the  manager came and said that we dnt have reservation asked us to leave! We actually enterd right infront of her and that time …,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
rohith kiran k r,a year ago,Service was below par.. first time experiencing such low level service ..strating from reception till table.. very bad experience..,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-280985) on …"
Alan Lopes,2 years ago,"Absolute rubbish experience

I called today to book for 2 people for dinner on Christmas eve and they say …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Shanze Moulvi,2 years ago,Horrible food pathetic service the food was tasting worst than a local food stall I would request whoever reads this message not to visit this place total loss of money 😢 non veg starters were horrible and just salty main course menu is …,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Ann Dsouza,4 years ago,So much hype about this place... no ambience...food is horrible...noisy crowd..spoilt our day...we had huge expectations..what a put off!!! …,Response from the owner,4 years ago,"Hi,

We sincerely apologize for the inconvenience caused. …"
Jai Praful Ved,2 years ago,"Pathetic food....for vegetarians in BBQ u had fruits more than vegetables !
The waiter was really waiting to close the bbq part so that people move towards the main course and close the meal and empty the table...so that the table can …",,,
Srinivasan Ramamoorthy,2 years ago,"Pathetic food quality and even more pathetic (read slow/ignorant) service. After repeated complaints to manager Nitesh and person Nandu from kitchen we got some food that can be called palatable. If you are thinking this is cousin of Barbeque Nation, pls think again. These guys can try to imitate but can never match the original.",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Ashish Apte,2 years ago,"I am writing this while sitting at AB. The food quality is pathetic and tasteless, every Barbeque item was served ice cold. …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Shivani Thosar,2 years ago,"The worst place ever and total waste of money and time.
They serve tasteless food here.Please do not visit this place and waste money.The chef doesn't put any kind of effort in making the food ( veg/non veg).",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Rohan Shinde,a year ago,"Worst quality food, uncooked, too spicy, smelly meat, limited options, even managed to screw up ice cream. We went as a group of 20 people and everyone was equally disappointed. Never planning to visit this place again. Avoid it at all costs",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
raj verma,3 years ago,"Does not deserve one star also, highly unprofessional people, cancelled booking without informing,rude behaviour of staff,no manager available to incase of any query, don't waste your time and money by going here. We reached at the spot amidst heavy rains and traffic, told them of our situation but they did not understood.",,,
brian fernandes,11 months ago,"Worst butter chicken I ever had
Order I'd -
PYTM7f300a1d-dff6-4257-89bb-80a34ae8a9dd",Response from the owner,11 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-318862) on …"
R K,4 years ago,"If you are veg then never try also here. Nothing good to eat. In stater they have only corn, potato and hrabhra kbab. Panipoori was made up of readymade chips. Pasta was tasteless. Sigri was just show peice. Nothing good to eat.",Response from the owner,4 years ago,"Hi,

We sincerely apologize for the inconvenience caused. …"
Dr.Laximan Sawant,a year ago,"Costly not worth
Food quality/ taste  is not great
Main course was not good except mutton soup …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
kunal agarwal,2 years ago,"One of the worst food places I found in 40 years, go there only to be humiliated, servers come to your table and take food stuff for other tables from your table. It is not advisable, the whole staff is placed from some gang, you feel very uncomfortable and eerie",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Biswajit Fukun,2 years ago,"Really horrible experience in your hotel.
No one to respond. Waiting for last 2 hours for the food. Repeatedly asking no one attends. …",Response from the owner,2 years ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Sunil Kini,2 years ago,"Not worth the money charged. Only starters were good, no welcome drink, deserts were not up the mark. Overall poor experience when compared to Barbeque Nation.",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Pooja M,5 years ago,"Feel it's just a hype.. staff was very unattentive, we had to ask for food again n again..service was slow n poor.. even the  exoctic meat (which is been praised so much on social media) is pathetic.. Found the meat rubbery n chewy.. one of …",Response from the owner,5 years ago,"Hi,

We regret the inconvenience you had to face. For better assistance request you …"
Patel Shifa,3 years ago,"Slow service
Food on the table was not cooked properly
Pizza smell like turmeric …",Response from the owner,3 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
J RAJA,2 years ago,"Service is not good, they have not managed the crowd, varieties also very less, biryani is also worst. No mutton dishes at all. Overall waste of money.",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Anupam Wad,4 years ago,"To start with, I had been to the Wakad outlet and was pretty impressed with the concept and overall quality but this particular outlet completely changed my opinion …",Response from the owner,4 years ago,"Hi,

We sincerely apologize for the inconvenience caused. …"
nisha Wagh,3 years ago,No prior intimation before cancelling table..that too we were just 15mins late. Indescnt behaviour by receiptionst kept waiting at the desk nd attended other visitors,,,
Mohit Singh,2 years ago,"The food is average. Service is too slow. Hygiene is a big concern. I have asked for baby chair and
When it was provided it was of no use. It was so dirty that it seems that it was never cleaned. No value of money.",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
AKSHAY GAVALE,a year ago,"Service was very slow, after 3:30 pm they shut down ac don't thing that customer sitted, very unsatisfied",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-289014) on …"
Saakshi Maggu,2 years ago,"Went with office colleagues.... not even a single dish was good, service was very poor. Delay in starters..  you will hve lot of varieties but of no taste. It was first and last visit.",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
AASHIMA BANSAL,a year ago,"They had the poorest service of all, it takes them 15 minutes to serve what was asked and for cutlery the people only have to go here and there to get for themselves. I have keep my guests waiting for the basic things required",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
ameesh khatri,a year ago,"Cocroches over dinning  table, noisy, pathetic service, serving cold food, not looking professional  serving staff ! What else you want on Friday evening ..that's it.",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Aiysha Shaikh,3 years ago,Worst food.no taste.i wonder why people have given it 5 stars.poor service.the time they take to deliver the food on table is soo long. Need to inprove the taste.,,,
Ganpat Rajput,a year ago,Prakash pappu Kumar and others are providing good service and celebrate a small birthday with me,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-303899) on …"
