Name,Review_Date,Review,Owner_Response,Response_Date,Response
,,,,,
,,,,,
,,,,,
Faiz Mohammad,2 years ago,"This was my first & last visit to ABs, They are such unprofessional fellows, I have booked for 17 members. Their service were so bad it took them 20mins to make naan available, it took 15mins to make plates available. For the barbecue they …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
dilip vuyyuru,a year ago,Had a Disappointing 😞experiences when compared with last year they are having a different Menu which is very limited  from what we can see Online for a Non- Veg Buffet thare not even a single mutton or prawns option just chicken that to in …,,,
sai gopi yarrareddy,a year ago,"Service is bad, they serve very late and have to request again and again. Food will not be available. You have to wait in line for a long time for food, plates, there are less starters and the taste is not so good, Food is not good either. …",,,
satyapusa reddy,a year ago,"your expectations of BBQ won't meet at this place, whatever you ask to the staff they'll say it will be available in ""AB's sir"", they serve each item thrice cause there won't be much items in the menu, there will be only 3 starters, 3 …",,,
Sandeep Kuchipudi,3 years ago,Chicken tikka and mutton starter was too worst...servers is too good and they responding well...I never eat that worst mutton and chicken starters...non veg Biryani is also not good...,,,
Lokesh Pargaien,2 years ago,"Worst experience ever
The starters were over cooked.Deserts are pathetic.They made us wait 10-15 min at the live desert counter.
Very bad experience",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Chilkuri bhaskar reddy,3 months ago,"Overall, the food is too bad, I opted for veg and nothing was good except crispy corn, panner is not fresh. Desserts are not good. Not happy and not recommended",,,
MAYANK SHARMA,8 months ago,"Food was awful, and also got this insect in food. Would suggest to go somewhere else. Disappointed 😞☹️ …",Response from the owner,8 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-352912) on …"
Gurava Maruri,4 years ago,"1. Service is very bad.
2. They serve very late and have to request again and again.
3. Food will not be available. You have to wait in line for a long time for …",,,
Srinivasa Rao Duggi,4 years ago,"Yaaaak.... Service is too worst. Behavior of attenders and managers not good. Keeping Hygiene of the table - no one cares. (checkout the photos) For couple of moments, I felt like we are at the mercy of the attenders to get the food to be …",Response from the owner,4 years ago,"Hi,

We sincerely apologize for the inconvenience caused. …"
Shivacharan Sura,3 months ago,"We visited to this place many times but this time we had worst experience with food  , service and also atmosphere",,,
Yashwanth Kumar,2 years ago,"Restaurant manager is of no use, he keeps people wait for no reason... No customer oriented service from his end... his careless behaviour towards managing tables and un tidy attitude in redeeming the company  vouchers will definitely cause a great amount of damage to  3b's customer base..",,,
NikHil SinGh,7 months ago,"Today, a colleague and I visited AB's Jubilee Hills to celebrate, but the staff was unprofessional and confused while serving dishes. We had to wait a long time for each order, and the chicken curry mixed with white rice served as Biryani …",,,
BHANU MANI SUHAS CHALUVADI,7 months ago,"1) Service was very slow and no proper attention to customers
2) Served stale food, fell sick and food poisoned. No proper attention on hygiene …",,,
Rahul Singh,7 months ago,Very disappointing experience in Jubilee Hills AB's. we were about 33 members and only 2 captains(Saidul Rehman and Mumtaz Khan) were serving with a bad attitude and gesture. Added chicken curry in white plane basmati rice and served us by …,,,
Thakur Upender Singh,7 months ago,"saidul rehman and mumtaz khan these two guys served us that too only 2/3 items in starters, the one which we ordered they did not responded on that, it was very poor experience for me and my friends, i would no suggest at all..",,,
vishnu vardhan,7 months ago,"We revisited this place recently, expecting a pleasant experience based on our past visits. However, upon arrival at 7 p.m., despite our reservation, the restaurant was unprepared. Disappointingly, both non-veg and veg options were of …",,,
Bharath Reddy,6 months ago,"Service was very bad , we dint except this service from them, the staff  is not attending properly , when we ask one person call Uday he said way of talk was very bad , i said him i will write review also he said me what ever u want to do u do said me , attached his photo , waste don’t go on the place batter go best places",,,
Manjari Merugumuvvala,4 months ago,I really had a very bad experience where the food is not served on time and in buffet the food is not restocked found empty bowls and while we were still in the restaurant they cut off the AC which is really a very bad experience.,,,
Navin Dikshit,5 years ago,Quality has gone down . Food was pathetic. Even after repeatedly asking for prawns they were serving chicken. Chicken tangdi was cold and had no taste. Maincourse was also bad it looked dull and bad. Dessert counter they were serving rabdi …,Response from the owner,5 years ago,"Hi,

We regret the inconvenience you had to face. For better assistance request you …"
Trinath Chary Puligilla,3 years ago,"Disappointed with the taste and quality of the food this time. This is my second time to AB's, before lockdown 2020 this place was the best in barbeque items in all quantity and quality and also many varieties. But now after lockdown we …",Response from the owner,3 years ago,"""Hi, Trinath Chary Puligilla,

We regret the inconveniences you have faced and request you to share your …"
Abhinay Sai,a year ago,"The service was worse I asked to meet their floor manager but they didn't respond I waited for like 45 minutes on my table  to just get a plate
And they didn't even serve me any starter they brought my drink order like 30 …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Varun Mishra,10 months ago,"There is no taste in the barbeque chicken starters, all were tasteless and flavourless. No variety in terms of main course. And when you accept diners from 7pm onwards you should have your ACs up and running. It was hot out there as ACs …",Response from the owner,10 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-331097) on …"
Rachna Jain,10 months ago,"We altogether 20 people went to ABs Jubilee Hills. They told us to sit near live counter where maximum heat of tava was there.
1st - Their AC wasn't working at all. They kept saying AC is getting repaired. …",Response from the owner,10 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-329120) on …"
sairam ravi,11 months ago,"Food is below average, tabels had cockroaches in them and very unhygenic conditions, cost is around 900 per person but items are very less, except salads no items are good, all the servicemen are requesting for reviews and asking to rate …",Response from the owner,11 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-318844) on …"
praveen kumar,a year ago,Very bad experience ever don't visit here no response from staff at any cost,,,
SAI KUMAR,7 months ago,Worst experience food is average and service is too worst and people not even responding to us and I would not suggest at any cost ambience is ok ok,,,
JOHN RONDLA,2 years ago,"Thuuuuuu worst restaurant. Worst management, don’t go my dear friends. Manger behaviour is bad",,,
Bojja Aravind Sena,9 months ago,Worst experience with service and the taste was very normal. Very basic spread and don't care attitude. It has completely lost its essense which I had in the initial days. Seems they have become over confident,Response from the owner,9 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-339898) on …"
Sampath Reddy,10 months ago,"I dot have zero rating option but they deserve for fine, such a pathetic food and service. Just for roties was waiting for 30 mins, no one responded and I am requesting think 100 times before booking table here.",Response from the owner,10 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-336336) on …"
harry santosh,11 months ago,"We had our team lunch. It was a great disappointment no proper service, no refills, ab’s staff will make you wait for a long time and you will loose interest to order. This is the first time such a bad experience. For corporate lunch or …",Response from the owner,11 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-323757) on …"
nikhil tej,a year ago,"i was forced to give 5 stars
I have got a call from customer support and they were helpless
Useless abs …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-309882) on …"
Athar Khan,11 months ago,"When you call they say less charges per person and when you ask to send the confirmation, they send you high charges. Bad business practice. Customer don't like surprises so want to know the charge for buffet and that is told wrong.",Response from the owner,11 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-323457) on …"
sir bibjb,10 months ago,"I guess 3bs and abs has lost its soul now. It's not the same abs and 3bs it use to be any how thanks for 3bs and abs, I had one of my best memories and one of the best taste and experience I have ever enjoyed but sorry to say now everything …",Response from the owner,10 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-327549) on …"
Raghu Srikanth Reddy,a year ago,"We went for a team dinner and were very disappointed. pathetic service by them. In main course, pieces were not there in Biryani and curry. Inspite of informing them multiple times, they were least bothered. …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-273094) on …"
Mrs Afroz Muzamil,2 years ago,Didn't like the taste at all and very crowded very less space between two tables with no privacy at all,,,
Khairunnisa Moghal,a year ago,"I booked a table for 11, and we have kids in our family they are 5 years old, they didn't provide seats for kids, serving late, we asked them everytime for their signature dishes. Place is so crowdy, they shouldn't have accept our …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-283009) on …"
Falguni Kumar Behera,a year ago,"Something which I had not imagined at AB’s.
1) Staff is not the same and will not make you feel welcome - I had reservations and had confirmation calls also. However when I reached, the entrance was over …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-272936) on …"
Jagannath Das,4 months ago,No AC. Multiple times have to ask for food. No service at all. Food worst.,,,
Shanmukha Shannu,8 months ago,Last Sunday Me and friends are Visited To Ab's Nation Atmosphere And Service Is Good But Food Quality Not upto the mark.Non veg love'r Don't Go to this ÃB's BBQ.,Response from the owner,8 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-354527) on …"
RAJKUMAR PADILAM,11 months ago,"Worst food I ever had in recent times .. the starters were all burnt and dry and when complained they took a decade to bring replacement..which was dry too.. after u finish your first serving, you have to wait an eternity to get a another serving ..",Response from the owner,11 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-326160) on …"
Chiru Chirudeep,9 months ago,Worst food taste. Staff are unable to serve properly. Not maintaining sufficient food in dishes (buffet) .Staff confusing during crowd time.,Response from the owner,9 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-342932) on …"
Anil Chand,7 months ago,no taste at all... no complementary drink....  over hyped... instead eat only biryani out side,,,
Anusha Bussu,a year ago,"Very unpleasant experience, wouldn’t visit this restaurant. I booked a table previous day for 5members. As soon as I reached the restaurant there was no one to attend and walk us to the reservation. The next thing what I experienced is that …",,,
Ankith Produtoori,a year ago,"Not once but twice there was hair in the food, the same night absolutely disgusting",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Vijay Kumar Yamparala,4 years ago,"Hoooo worrest,waste of money,no taste food,total waste of time also,biryani soooo bad",Response from the owner,4 years ago,"Hi,

We sincerely apologize for the inconvenience caused. …"
vishal singh,a year ago,"One of the worst resturants thst I have recently been to. Lousy service, bad food and to top it up you need to wait endlessly for bowls for the servings.
One good aspect is that they have a variety of meats available right from Rabbit to Octopus to Duck and many more.",,,
pramod bhargav,2 years ago,Definitely the ratings are not correct. We got seat after an hour even though we booked table 2 days before for buffet. Then waiters didn’t put water glasses and gave cold starters. Corn they almost burnt. They didn’t even come to ask to …,,,
Naresh Goud,9 months ago,"The food quality is bad and and taste is not at all satisfactory, as well as serving not upto the mark, food item are very low and provides only grills more. Coming to main course can't eat...",Response from the owner,9 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-343037) on …"
Aniketh Singh,7 months ago,"Worst food, why am giving them 1 star also? they don't deserve. Worst service, Food, Menu
and ac was also not working.",,,
sandeep Ch147,a year ago,"Worst experience ever. Rude staff, no one responses quickly. We went to have non veg buffet which is ABSOLUTELY worst. Don't waste your money and time.",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-273012) on …"
sri lakshmi,a year ago,I visited and the service is bad. Quality of food is not being taken care. Waste of spending money at this place. New thing is they are serving Halal food which is not for Hindus and Sikhs being served for all please take care and go for fish or prawns or egg at this place dear Hindus.,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Bharath Bhushan (BB),2 years ago,Here the staff is very limited .. and no proper supply of items to eat. You will be fursrated and will leave the place.,,,
Navaneeth Reddy,a year ago,"Service was absolutely trash. Had to ask for the drinks menu 3 times and received it while having dessert. Ambience was pretty decent but it being a holiday, it felt very congested. …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Sukesh Gampa,8 months ago,"You can capture some pictures with your team
And you will get a cake if it's birthday of anyone in the team, that's it nothing else. …",Response from the owner,8 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-353826) on …"
Raja iGATE,a year ago,"Save your money and eat somewhere else. There was not a large variety of food and the food tasted. starters are  worst the chef don't know the difference between wings and proper chicken pice were left fending for ourselves throughout, as …",,,
Planet Traveler,a year ago,Unpleasant experience with Poorly managed branch. We were (12members) served Limited servings (2 times ) of bbq skewers that too we had to request multiple times. By the time they decided to serve then bbq coal already ran out of heat. Server photo attached. Very unprofessional behaviour and communication.,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-313964) on …"
Priyanka Chowdary,a year ago,"Food wasn't worthy better we will go to other restaurants. Meat chicken and Fish were half cooked and we showed raw meet to the server boy and he changed plate, and the main course was disaster, live Pani Puri chat was just display pice no …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Srinivas Konga,9 months ago,"We booked for ABS but we were asked to dine down stairs as it's occupied...no proper staff nor ambience nor much of varities served down stairs
No attention will be paid to you guys as the complete staff will be in ABS top floor",Response from the owner,9 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-338099) on …"
sudeer singh,2 years ago,I will never ever visit this place... such a waste of my time with family... service is so so slow... food options are very limited and on top.of it.. the food that they serve is either not cooked or it's burnt... when we went to have …,,,
Sarella Supriya,a year ago,Our team of 45 visited and the Quality of food is worst.. the food was cold not cooked properly and the staff were not responding.   Waste of spending money and time at this place,,,
Navin Shiva,a year ago,"I have visited ABs alot of time really enjoyed few times..but my recent last three visits are really bad.taste is not  at all good not even one item got satisfied ,service was ok..abs team concentrate on ur food taste it's not good now a days .",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-295278) on …"
Rajeswari Sai,2 years ago,Recently celebrated my mom’s birthday here and we had a terrible experience with the billing. They made a mistake and made us to wait nearly 40minutes to rectify it. Food was ok nothing great. Service was extremely disappointing! Few of the staff members are so mean and hopeless!,Response from the owner,2 years ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Murali Krishna AV,2 years ago,Loved the ambience and theme but totally disappointed with food. The starters are not at all gud and the main course is just disaster not even a single dish was good. Dessert are like preserved for more than a day! Very low quality food. Reasonable pricing but ultimately they need to work on taste.,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Sriharsha Reddy,a year ago,"The food is good but not so good  i.e. average
I would like you guys to add more egg dishes
I would suggest you to add few items such as omelette, pasta live counter , …",,,
Pankaj Gupta,a year ago,"Not satisfied with booking experience. After booking using customer care, outlet guys says there is no booking. There is no place to sit outside during waiting. …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-272923) on …"
Anurag Reddy,a year ago,"I with my 4 other friends visited on Feb 10th 2023 and had the misfortune of dining at 3Bs Gachibowli, and I must say it was one of the worst dining experiences I have ever had. Not only was the food not up to par, but it also made me and …",,,
Ashok M,a year ago,3Bs The staff here are very unprofessional and arrogant .They behave just like roadside tiffin service. For everything you need to followup with them atleast 3to 4 times even for tissues and all. Better avoid this outlet.,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-273015) on …"
shahamat hussain,3 years ago,About 20 of us from the family visited this place to celebrate a good time. The staff were rude. Starters failed to get us on the table. Waiters were blunt enough to say we have lot of work and we can’t attend you. Manager have no concerns. …,Response from the owner,3 years ago,"""Hi, Shahamat Hussain,

We regret the inconveniences you have faced and request you to share your …"
Kasa Aravind,2 years ago,Went for dining along with 25 of my colleagues on 30.03.2022 at 8:30PM. All that I can say about the experience of dining is Worst food and worst decorum of the staff . None of the items served were tasty. They were mostly bland and …,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Archana verma,8 months ago,The food served was cold and from some other table..it wasn't fresh...pathetic service and they were trying to misguide us for payment. False information.,,,
udaya sri,8 months ago,Very bad experience on food service atmosphere and people's are not responding correctly. …,Response from the owner,8 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-348227) on …"
manju gupta,a year ago,"It was a horrible experience being a vegetarian. I was invited to a lunch on Sunday. I was served with veg barbeque which was sweet in taste. I mean who eats sweet paneer tikka and veggies? One telling them to put some salt n spice, the …",,,
Chetna Poojari,a year ago,"The place has deteriorated significantly over the years, you can taste bad oil and quality of food. The ambience is dull, poor music and staff etiquette.",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-298565) on …"
Sai Tanusha Gudivada,11 months ago,"Earlier what we ate in AB's was good but now. We were fully disappointed 😞 with food which we have.
We ordered veg and Non veg  both are not good. …",Response from the owner,11 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-322820) on …"
Sailendra Ba,2 years ago,"We were 18 members prebooked, and none of the varieties were good, they severd 4 times crispy corn instead of non veg, if you have no enough food to supply you should have denied us to get in. The instant meat bolls just came directly from …",Response from the owner,2 years ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
sravan manchikatla,9 months ago,"Very much disappointed, there were only limited items that were there . I am not saying that Abs is bad/ worst. In this jubli hills I'm not satisfied.",Response from the owner,9 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-341426) on …"
TALLA SANTHOSH,a year ago,"Purely disappointed with the Service & The taste of most cusines are below average.
The service is critically poor in the name of weekend The number of Items in the …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Bhushan Kumar Gampa,2 years ago,"Didn't have good experience. Due to traffic during peak hours, there was a delay and they cancelled our booking. We trued to request them and they couldn't help. As I was a Zomato pro member, I did book from there and I was given the table …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Phanni Mp,a year ago,Total miscommunication between customer service team and restaurant staff. We enquired with customer service team and booked table for 4pm at Jubilee hills branch. We even recieved confirmation through message and travelled all the way from …,,,
Syed Sajed,9 months ago,We visite first time  overall food and services not to good 4person we visite but unfortunately food not good 3500 something change we spend plz improve food quality,Response from the owner,9 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(  ZLCT-344540   ) on …"
veeragani balu,a year ago,"The worst experience that I never faced with AB's literally the serving boys they are feeling like we came to have free lunch, no proper response and no proper serving, took almost one hour to serve the items, Highly recommending no to …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-297175) on …"
Ajay Agrawal,a year ago,"ABs as an entire chain of restaurants has lost its credibility. Once it used to be go to place, but past 1.5 years neither it has quality nor service. Same old menu with jam packed place people stepping over each other. Be it Gachibowli, Inorbit or Jubilee hills branch, it is all same bad experience.",,,
ramesh babu Kollu,2 years ago,"It was good but now the food taste and quality of service everything changed. We were 18 and no one likes the food. Shortage of bowls, need to request for starters, smallest and tasteless prawns and finally no one come to listen to us. …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Ram reddy,a year ago,"Disappointed with 3B’s.

This 1 star is also for only their Chiken Biryani taste. …",,,
Simha Anil,a year ago,"Worst place, go if you want to waste your time and money
AC was not working properly, they did not serve water or starters even after repeatedly asking …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-307201) on …"
Rohit Dadwai,a year ago,"Absolutely disgusting experience no coordination extremely poor service n no importance to guests and big component called 'COMMITNENT"" which is needed in service industry is missing majorly. …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Trilok Valluru,a year ago,"Came with friends. Did not enjoy the food. Just waiters asking what do you want, if I am going to order what I need I could have gone to a diff restaurant… not satisfied with the taste.",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-310966) on …"
Karthik Bhattiprolu,3 years ago,"The quality of food served is not up to the mark. Both veg and non veg are not satisfactory. Chinese dishes at the serving are sub-par.
Hopefully they improve the standards. …",,,
Lakshmikanth Reddy,2 years ago,"I have visited the restaurant on 15th July evening along with my family &children. We have booked online for 6 people. We reached the restaurant at 7.45 pm. After we sat at the table, the security person came to us and told us that we have …",,,
ruchita panchal,a year ago,Quality of food is bad... Oil used to cook food stinks .... Moreover they create billing issues... They tell u we will charge you for early bird discount n if ur late due to heavy traffic they don't do any reservations n charge you high... Never opt for AB's... They have degraded their quality..,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Nikhil Polineni,2 years ago,"Reserving a table made it easy to get a table on a jam packed Monday night. It is sad to see ABs go down this bad. Quality of the food is no where near to what is used to be. The tables were super close, making me feel as if I was sitting …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Pavan Konchada,2 years ago,"We booked table for 12 pm and came at 12:30 pm and the manager stated that the time slot is full. And we see 35 seats unoccupied, and the manager stated that it is reserved for 1:30 pm. But in booking page there are only 12 pm and 2pm …",,,
nah one,a year ago,"The meat was overcooked and dry. It felt like they had prepared everything way before and by the time they served it to us, it felt like chicken which was of 8 hours ago, service was slow and they were overloaded, atmosphere was really …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Sreenivasa Rao M,a year ago,"Came today for Lunch with Friends BUT

Horribles : …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-283266) on …"
venkataramana korada,2 years ago,"Worst food (semi cooked and at room temp). No heat/fire in barbecue. Couldn’t eat the food at room temp.
Accepting double the number of customers than their serving capacity. …",,,
